[1/29 19:05:43] Players: 12, RAMused: 63.4 MB
[1/29 19:02:43] Players: 11, RAMused: 61.5 MB
[1/29 18:59:43] Players: 10, RAMused: 59.57 MB
[1/29 18:56:43] Players: 9, RAMused: 56.16 MB
[1/29 18:53:43] Players: 9, RAMused: 54.1 MB
[1/29 18:49:01] Players: 11, RAMused: 54.35 MB
[1/29 18:44:21] Players: 12, RAMused: 76.76 MB
[1/29 18:41:21] Players: 11, RAMused: 76.03 MB
[1/29 18:38:21] Players: 9, RAMused: 75.81 MB
[1/29 18:35:21] Players: 11, RAMused: 75.63 MB
[1/29 18:32:21] Players: 10, RAMused: 75.42 MB
[1/29 18:29:21] Players: 11, RAMused: 75.83 MB
[1/29 18:26:21] Players: 11, RAMused: 74.94 MB
[1/29 18:23:21] Players: 13, RAMused: 74.54 MB
[1/29 18:20:21] Players: 18, RAMused: 74.26 MB
[1/29 18:17:21] Players: 19, RAMused: 72.73 MB
[1/29 18:14:21] Players: 19, RAMused: 72.48 MB
[1/29 18:11:21] Players: 19, RAMused: 72.34 MB
[1/29 18:08:21] Players: 19, RAMused: 70.83 MB
[1/29 18:05:21] Players: 15, RAMused: 70.35 MB
[1/29 18:02:21] Players: 17, RAMused: 70.34 MB
[1/29 17:59:21] Players: 16, RAMused: 68.93 MB
[1/29 17:56:21] Players: 15, RAMused: 67.88 MB
[1/29 17:53:21] Players: 14, RAMused: 67.64 MB
[1/29 17:50:21] Players: 14, RAMused: 67.33 MB
[1/29 17:47:21] Players: 12, RAMused: 65.5 MB
[1/29 17:44:21] Players: 11, RAMused: 63.74 MB
[1/29 17:41:21] Players: 12, RAMused: 63.21 MB
[1/29 17:38:21] Players: 12, RAMused: 61.17 MB
[1/29 17:35:21] Players: 12, RAMused: 56.39 MB
[1/29 17:29:51] Players: 12, RAMused: 58.39 MB
[1/29 17:26:51] Players: 11, RAMused: 54.48 MB
[1/29 17:23:32] Players: 9, RAMused: 53.97 MB
[1/29 17:19:02] Players: 4, RAMused: 57.62 MB
[1/29 17:16:02] Players: 1, RAMused: 53.82 MB
[1/28 23:49:49] Players: 2, RAMused: 79.39 MB
[1/28 23:46:49] Players: 2, RAMused: 78.92 MB
[1/28 23:43:49] Players: 2, RAMused: 79.28 MB
[1/28 23:40:49] Players: 2, RAMused: 89.54 MB
[1/28 23:37:49] Players: 2, RAMused: 88.96 MB
[1/28 23:34:49] Players: 2, RAMused: 88.78 MB
